date,value,metric,source,fetched_at
2019-02-01,150067.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450111
2019-01-01,150060.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450112
2018-12-01,149809.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450112
2018-11-01,149617.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450113
2018-10-01,149527.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450114
2018-09-01,149358.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450115
2018-08-01,149277.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450115
2018-07-01,149020.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450116
2018-06-01,148960.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450117
2018-05-01,148742.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450118
2018-04-01,148420.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450118
2018-03-01,148280.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450122
2018-02-01,148054.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450122
2018-01-01,147660.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450123
2017-12-01,147523.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450124
2017-11-01,147372.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450125
2017-10-01,147149.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450125
2017-09-01,147008.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450127
2017-08-01,146919.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450128
2017-07-01,146772.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450129
2017-06-01,146583.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450129
2017-05-01,146380.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450130
2017-04-01,146175.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450131
2017-03-01,145970.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450132
2017-02-01,145846.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450133
2017-01-01,145628.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450134
2016-12-01,145408.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450134
2016-11-01,145183.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450135
2016-10-01,145065.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450135
2016-09-01,144967.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450136
2016-08-01,144661.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450137
2016-07-01,144520.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450137
2016-06-01,144147.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450138
2016-05-01,143900.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450139
2016-04-01,143854.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450139
2016-03-01,143662.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450140
